stop_id,stop_code,stop_name,stop_lat,stop_lon
AA010,8767,"SUSSEX / RIDEAU FALLS",  45.439879, -75.695844
AA030,7001,"SUSSEX / ALEXANDER",  45.442868, -75.693564
AA035,8762,"ALEXANDER / THOMAS",  45.442806, -75.692325
AA040,7000,"JOHN / SUSSEX",  45.442562, -75.693505
AA050,7002,"ALEXANDER / CHARLES",  45.442539, -75.691511
AA060,8766,"CRICHTON / CHARLES",  45.442231, -75.691221
AA070,7003,"CRICHTON / UNION",  45.441682, -75.689964
AA090,7004,"CRICHTON / VICTORIA",  45.441148, -75.688271
AA110,7007,"CRICHTON / KEEFER",  45.440741, -75.686615
AA130,7008,"CRICHTON / DUFFERIN",  45.439590, -75.682989
AA140,8765,"CRICHTON / THE MEWS",  45.439650, -75.682643
AA150,7010,"CRICHTON / ELECTRIC",  45.439091, -75.679954
AA170,8764,"CRICHTON / BEECHWOOD",  45.438612, -75.678427
AA210,8922,"BEECHWOOD / MACKAY",  45.439490, -75.676929
AA221,8794,"BEECHWOOD / LOYER",  45.440049, -75.675699
AA231,8795,"BEECHWOOD / ST CHARLES",  45.441164, -75.673624
AA260,7015,"BEECHWOOD / ACACIA",  45.442329, -75.671433
AA270,7013,"BEECHWOOD / JOLLIET",  45.444136, -75.670294
AA280,8797,"BEECHWOOD / CORONA",  45.444071, -75.670537
AA300,7016,"BEECHWOOD / JULIANA",  45.445864, -75.669501
AA320,7017,"HEMLOCK / LANSDOWNE",  45.447638, -75.668453
AA325,7018,"HEMLOCK / WHITEMARL",  45.448842, -75.665801
AA340,8788,"SPRINGFIELD / BEECHWOOD",  45.440053, -75.676328
AA350,7021,"SPRINGFIELD / PUTMAN",  45.442010, -75.676826
AA360,7022,"SPRINGFIELD / RIDEAU",  45.443679, -75.677190
AA370,7023,"SPRINGFIELD / LINDENLEA",  45.444913, -75.677441
AA380,8789,"MAPLE LANE / SPRINGFIELD",  45.446327, -75.677599
AA390,7024,"MAPLE LANE / ELMDALE",  45.446550, -75.674886
AA400,7025,"MAPLE LANE / ACACIA",  45.446709, -75.673132
AA410,7026,"ACACIA / RIDEAU",  45.444571, -75.672435
AB050,2309,"LOYER / BARRETE",  45.439698, -75.675071
AB055,1697,"BARETTE / ST-CHARLES",  45.440390, -75.673444
AB060,1650,"MARIER / BEECHWOOD",  45.441973, -75.671501
AB065,7263,"MARIER / BARRETTE",  45.441915, -75.670965
AB070,7029,"MARIER / GENEST",  45.441176, -75.669043
AB080,7027,"MARIER / LONGPRE",  45.439536, -75.664436
AB100,8752,"DES PÈRES BLANCS / MARIER",  45.440050, -75.665714
AB120,7034,"DES PÈRES BLANCS / MARQUETTE",  45.440860, -75.664577
AB130,7035,"DES PÈRES BLANCS / LONGPRÉ",  45.440788, -75.664527
AB185,0839,"DES PÈRES BLANCS / LEBRUN",  45.442712, -75.661801
AB290,1545,"GRANVILLE / MONTRÉAL",  45.438199, -75.656244
AB300,8749,"ALFRED / MONTRÉAL",  45.438861, -75.654585
AB310,7046,"MONTFORT / ALFRED",  45.439448, -75.656059
AB320,1544,"MONTFORT / GRANVILLE",  45.439120, -75.656690
AB330,8745,"MONTFORT / STE ANNE",  45.439118, -75.658914
AB350,7049,"MONTFORT / BRADLEY",  45.438845, -75.660976
AB360,7047,"MONTFORT / PARK",  45.438911, -75.661397
AB370,7048,"MONTFORT / MARIER",  45.438806, -75.663009
AB380,7050,"MARIER / MONTFORT",  45.438869, -75.663529
AB385,7110,"MARIER / MONFORT",  45.438617, -75.663020
AB390,7111,"MARIER / DESCHAMPS",  45.437100, -75.662178
AB450,8944,"VANIER / PATHWAY",  45.437735, -75.674030
AB456,6579,"VANIER / MEILLEUR",  45.437316, -75.671523
AB460,7051,"VANIER / DESCHAMPS",  45.436563, -75.669052
AB480,7052,"VANIER / MONTRÉAL",  45.435088, -75.666426
AB490,8781,"MONTRÉAL / NORTH RIVER",  45.433083, -75.669535
AB500,1575,"MONTRÉAL / MONTGOMERY",  45.433351, -75.668450
AB510,8783,"MONTRÉAL / VANIER",  45.434206, -75.666641
AB530,8947,"MONTRÉAL / EMOND",  45.435182, -75.664122
AB600,7058,"MONTRÉAL / LACASSE",  45.437339, -75.658133
AB611,1279,"MONTRÉAL / BRADLEY",  45.437281, -75.658690
AB630,1543,"MONTRÉAL / GRANVILLE",  45.438242, -75.655828
AB660,8740,"MONTRÉAL / DE L'ÉGLISE",  45.439568, -75.651315
AB680,7060,"MONTRÉAL / NOTRE DAME CEMETERY",  45.440141, -75.649545
AC010,8723,"MCARTHUR / VANIER",  45.431265, -75.662942
AC030,7061,"MCARTHUR / OLMSTEAD",  45.431239, -75.660642
AC050,8932,"MCARTHUR / ALLEN",  45.431532, -75.656911
AC060,7063,"MCARTHUR / LACASSE",  45.431715, -75.656788
AC080,8615,"MCARTHUR / LAFONTAINE",  45.431809, -75.654920
AC100,7065,"MCARTHUR / EASTWOOD",  45.431966, -75.653039
